,bin_width,corr_coef,first_cell_id,p_value,region,second_cell_id,stim_id
17329,1.9,0.8054801119975356,3592,0.004916848489767835,striatum,3129,9
17330,1.9,-0.7972177055280989,3592,0.005745265396200468,striatum,3587,9
17331,1.9,-0.716718322279946,3129,0.019681456938232818,striatum,3587,9
17332,2.0,0.927904078385588,3449,0.0001082787826343108,striatum,3522,9
17333,2.0,0.8044967867456425,3449,0.005010658987405675,striatum,3592,9
17334,2.0,0.9704962863623784,3449,3.199080238626587e-06,striatum,3129,9
17335,2.0,-0.6644731425365884,3449,0.03609447580849088,striatum,3587,9
17336,2.0,0.660624183784162,3522,0.0375812807014506,striatum,3592,9
17337,2.0,0.8978093084799309,3522,0.00042106214664750695,striatum,3129,9
17338,2.0,-0.5884205171304818,3522,0.07354610042685433,striatum,3587,9
17339,2.0,0.8181543814016535,3592,0.003817088752891029,striatum,3129,9
17340,2.0,-0.81112850671256,3592,0.004402105973641214,striatum,3587,9
17341,2.0,-0.7195474520497586,3129,0.01897852989326039,striatum,3587,9
17342,0.01,0.10325257206139798,3449,3.7085712926726018e-06,striatum,3592,10
17343,0.01,0.023788312558085164,3449,0.28763185087822785,striatum,3587,10
17344,0.01,0.055990005350777486,3449,0.01226771902658813,striatum,3522,10
17345,0.01,0.07040301043589423,3449,0.0016301376987036197,striatum,3129,10
17346,0.01,-0.003390276890363715,3592,0.8795628227821919,striatum,3587,10
17347,0.01,0.07691301749153581,3592,0.0005761409871409114,striatum,3522,10
17348,0.01,0.06809363015976015,3592,0.0023123559948305715,striatum,3129,10
17349,0.01,0.01341058285786632,3587,0.5489118408604254,striatum,3522,10
17350,0.01,0.007429513446621372,3587,0.7398478771069401,striatum,3129,10
17351,0.01,0.07415435716373989,3522,0.0009041152915812463,striatum,3129,10
17352,0.02,0.1617468234527776,3449,2.7127492443841275e-07,striatum,3592,10
17353,0.02,0.042572198895251365,3449,0.17856800980661963,striatum,3587,10
17354,0.02,0.10804072434773876,3449,0.0006209455011426309,striatum,3522,10
17355,0.02,0.1345581616582707,3449,1.961666105601311e-05,striatum,3129,10
17356,0.02,-0.02051970127993233,3592,0.516890142013521,striatum,3587,10
17357,0.02,0.12652191898687337,3592,6.018010849637562e-05,striatum,3522,10
17358,0.02,0.1338140098200229,3592,2.182188857939178e-05,striatum,3129,10
17359,0.02,0.016962458957899298,3587,0.5921191016957013,striatum,3522,10
17360,0.02,0.029805221736155622,3587,0.34642092003300873,striatum,3129,10
17361,0.02,0.1233057824543655,3522,9.255566198818059e-05,striatum,3129,10
17362,0.03,0.19731551464408062,3449,3.2243611496480055e-07,striatum,3592,10
17363,0.03,0.06267175797988939,3449,0.10770467890924189,striatum,3587,10
17364,0.03,0.18542406731703243,3449,1.6166073711759813e-06,striatum,3522,10
17365,0.03,0.14482908841354114,3449,0.00018893126577164567,striatum,3129,10
17366,0.03,-0.001553301081101411,3592,0.9682291308888809,striatum,3587,10
17367,0.03,0.18818804911030299,3592,1.121403269551407e-06,striatum,3522,10
17368,0.03,0.1760349507544737,3592,5.379391309746656e-06,striatum,3129,10
17369,0.03,-0.01565413910184767,3587,0.6881077047469544,striatum,3522,10
17370,0.03,0.02766560393696467,3587,0.47799516357093097,striatum,3129,10
17371,0.03,0.11810360961495055,3522,0.0023734325954895873,striatum,3129,10
17372,0.04,0.20587663216836619,3449,3.4532658701557305e-06,striatum,3592,10
17373,0.04,0.05033127315785359,3449,0.2612945222951682,striatum,3587,10
17374,0.04,0.19558232122004618,3449,1.0577393809284418e-05,striatum,3522,10
17375,0.04,0.15102785743389008,3449,0.0007038204816736301,striatum,3129,10
17376,0.04,-0.011866745360181211,3592,0.7912454482662755,striatum,3587,10
17377,0.04,0.16210351759586314,3592,0.00027287791790271855,striatum,3522,10
17378,0.04,0.1871832248117339,3592,2.5272031994267368e-05,striatum,3129,10
17379,0.04,0.026497759911120272,3587,0.5544341588216093,striatum,3522,10
17380,0.04,0.02306907039414617,3587,0.6068203344496204,striatum,3129,10
17381,0.04,0.2000425919852884,3522,6.55857920918126e-06,striatum,3129,10
17382,0.05,0.2906099552796335,3449,3.1746005315111894e-09,striatum,3592,10
17383,0.05,0.04425176458250224,3449,0.37739944304885875,striatum,3587,10
17384,0.05,0.2727950077772558,3449,2.9508376589106507e-08,striatum,3522,10
17385,0.05,0.22019960215826526,3449,8.79391602588418e-06,striatum,3129,10
17386,0.05,-0.023686670164943538,3592,0.6367004473385847,striatum,3587,10
17387,0.05,0.2167919869294336,3592,1.2176560792040245e-05,striatum,3522,10
17388,0.05,0.21995492716068868,3592,9.003381351888361e-06,striatum,3129,10
17389,0.05,-0.01159090051229493,3587,0.8172368829531098,striatum,3522,10
17390,0.05,-0.011425334547999875,3587,0.8198024929774194,striatum,3129,10
17391,0.05,0.2326954918118254,3522,2.5502206797586987e-06,striatum,3129,10
17392,0.06,0.2682835993072588,3449,7.571982626632232e-07,striatum,3592,10
17393,0.06,0.006329401199049843,3449,0.9088064569011842,striatum,3587,10
17394,0.06,0.31179416790467523,3449,7.146959256301939e-09,striatum,3522,10
17395,0.06,0.2180766033493881,3449,6.477377470237765e-05,striatum,3129,10
17396,0.06,-0.014394477766317722,3592,0.7944704379074181,striatum,3587,10
17397,0.06,0.2655892076807685,3592,9.853535033240876e-07,striatum,3522,10
17398,0.06,0.22208683437137045,3592,4.700507631392187e-05,striatum,3129,10
17399,0.06,0.014446327313757116,3587,0.7937467209452894,striatum,3522,10
17400,0.06,0.05113454147427644,3587,0.3544531178262915,striatum,3129,10
17401,0.06,0.23292402797154996,3522,1.9186654209132385e-05,striatum,3129,10
17402,0.07,0.2742561644031274,3449,3.1886466866590035e-06,striatum,3592,10
17403,0.07,0.04669293523796747,3449,0.43642070081980944,striatum,3587,10
17404,0.07,0.31212238111630325,3449,9.645906248214916e-08,striatum,3522,10
17405,0.07,0.29371976129708666,3449,5.62445281211592e-07,striatum,3129,10
17406,0.07,-0.037426444830625016,3592,0.5328369851841238,striatum,3587,10
