,region,cell_id,stim_id,firing_rate_mean,firing_rate_std,num_samples,bin_width
172,hippocampus,1586,3,21.5,42.29236718559367,2000,0.01
173,hippocampus,1586,4,21.4,41.62819300938502,2000,0.01
174,hippocampus,1586,5,20.35,41.37309955373583,2000,0.01
175,hippocampus,1586,6,20.9,42.119793904045444,2000,0.01
176,hippocampus,1586,7,20.5,41.2383353222469,2000,0.01
177,hippocampus,1586,8,21.2,42.088546219386465,2000,0.01
178,hippocampus,1586,9,21.35,41.47333503299897,2000,0.01
179,hippocampus,1586,10,21.65,42.745655867558895,2000,0.01
180,hippocampus,1586,11,22.55,42.63104740798132,2000,0.01
181,hippocampus,1586,12,24.7,44.50730782944654,2000,0.01
182,hippocampus,1586,13,21.65,42.39311368658857,2000,0.01
183,hippocampus,1586,14,22.6,42.89708708105972,2000,0.01
184,hippocampus,1586,15,21.05,41.86614248940868,2000,0.01
185,hippocampus,1586,16,22.333333333333332,43.10231889801021,1800,0.01
186,hippocampus,1586,17,23.75,43.6106459963862,2000,0.01
187,hippocampus,1631,1,10.85,31.269256198246804,2000,0.01
188,hippocampus,1631,2,12.45,34.35968268038792,2000,0.01
189,hippocampus,1631,3,12.3,33.60468177678017,2000,0.01
190,hippocampus,1631,4,12.1,32.620883817433835,2000,0.01
191,hippocampus,1631,5,11.6,32.34135095339628,2000,0.01
192,hippocampus,1631,6,11.8,32.57745609041105,2000,0.01
193,hippocampus,1631,7,13.35,34.89106179376815,2000,0.01
194,hippocampus,1631,8,12.6,33.79069258616531,2000,0.01
195,hippocampus,1631,9,11.7,32.76655037399734,2000,0.01
196,hippocampus,1631,10,13.8,35.073851906281554,2000,0.01
197,hippocampus,1631,11,11.9,33.15025595278067,2000,0.01
198,hippocampus,1631,12,15.3,37.102537637600726,2000,0.01
199,hippocampus,1631,13,13.05,33.9893385868096,2000,0.01
200,hippocampus,1631,14,12.7,33.901100901315274,2000,0.01
201,hippocampus,1631,15,9.75,30.50250319810944,2000,0.01
202,hippocampus,1631,16,10.0,30.008336807163843,1800,0.01
203,hippocampus,1631,17,12.3,33.30562463482943,2000,0.01
204,hippocampus,1734,1,18.4,46.070611572078306,2000,0.01
205,hippocampus,1734,2,16.55,43.2670026320102,2000,0.01
206,hippocampus,1734,3,17.65,43.86843648752401,2000,0.01
207,hippocampus,1734,4,19.7,45.52962193162403,2000,0.01
208,hippocampus,1734,5,18.05,43.70529231441135,2000,0.01
209,hippocampus,1734,6,18.6,44.21557993235391,2000,0.01
210,hippocampus,1734,7,18.8,47.725243314463185,2000,0.01
211,hippocampus,1734,8,17.75,43.48428384451944,2000,0.01
212,hippocampus,1734,9,17.7,43.447138305226254,2000,0.01
213,hippocampus,1734,10,17.9,43.365081172904134,2000,0.01
214,hippocampus,1734,11,18.75,44.54693833314955,2000,0.01
215,hippocampus,1734,12,19.4,46.63397220569829,2000,0.01
216,hippocampus,1734,13,18.2,44.830401319207716,2000,0.01
217,hippocampus,1734,14,19.6,46.11836349791552,2000,0.01
218,hippocampus,1734,15,18.2,44.38180789959121,2000,0.01
219,hippocampus,1734,16,20.11111111111111,46.869645124725686,1800,0.01
220,hippocampus,1734,17,17.75,44.28225331867706,2000,0.01
221,hippocampus,1756,1,12.4,39.45907385196247,2000,0.01
222,hippocampus,1756,2,11.5,38.45112800194955,2000,0.01
223,hippocampus,1756,3,11.05,37.73074747009821,2000,0.01
224,hippocampus,1756,4,10.45,36.28299502334295,2000,0.01
225,hippocampus,1756,5,11.2,38.27914113878679,2000,0.01
226,hippocampus,1756,6,12.25,39.69540732479445,2000,0.01
227,hippocampus,1756,7,10.8,36.38711325463318,2000,0.01
228,hippocampus,1756,8,9.3,34.26509956974096,2000,0.01
229,hippocampus,1756,9,11.1,38.308272760344295,2000,0.01
230,hippocampus,1756,10,9.8,34.56236795474698,2000,0.01
231,hippocampus,1756,11,10.4,36.776572136743006,2000,0.01
232,hippocampus,1756,12,10.2,36.0084476776225,2000,0.01
