cluster_id,amplitude,depth,group,probe,region
1876,85.15876841494925,2820.0,good,posterior,v1
1877,105.7825134365094,3365.6851346078815,mua,posterior,v1
1881,185.22454839305652,82.67915495968727,good,posterior,thalamus
1882,166.78092481566512,3507.008805841924,good,posterior,v1
1885,290.4933525974757,563.9000427167877,good,posterior,thalamus
1886,166.73466679590362,3490.7617736160837,good,posterior,v1
1887,191.95389332424492,3500.626787057938,good,posterior,v1
1890,353.9166509337291,3490.7706893146355,good,posterior,v1
1892,126.64599239799715,598.1551948051948,mua,posterior,thalamus
1893,127.04608910596956,3534.444680851064,good,posterior,v1
1894,215.4520132661236,3469.6086654309547,good,posterior,v1
1895,131.77473817216293,3329.2230603448274,mua,posterior,v1
1897,255.46349890330978,2006.5384782608696,mua,posterior,hippocampus
1900,224.34558973840169,26.621945553414097,good,posterior,thalamus
1901,89.51902568821161,1750.9127148784826,mua,posterior,hippocampus
1902,363.71723778375133,1770.3212560386473,unsorted,posterior,hippocampus
1904,232.6272766074357,1209.1044153476714,good,posterior,thalamus
1905,254.64789088090748,454.18708209509657,mua,posterior,thalamus
1906,214.7901556967527,1812.9429146039604,good,posterior,hippocampus
0,108.2018348000113,2657.316903819589,mua,frontal,motor_cortex
2,202.03455481798636,100.7317748014131,good,frontal,striatum
3,137.10185828980093,640.0,good,frontal,striatum
4,115.3263203313734,2242.0579836921465,mua,frontal,motor_cortex
9,91.54708810376087,2010.0486113510394,good,frontal,motor_cortex
16,232.52346711584704,430.5905804065113,unsorted,frontal,striatum
17,175.00871301824645,2080.0,good,frontal,motor_cortex
19,125.7505750716976,489.2557404685662,unsorted,frontal,striatum
20,63.523822167770625,2555.2941911663784,mua,frontal,motor_cortex
24,176.52377937910362,528.2678191432761,good,frontal,striatum
25,125.6923750782865,2943.1599964135444,mua,frontal,motor_cortex
26,91.61704873164672,820.0,mua,frontal,striatum
28,98.88448833593894,871.2482426565925,mua,frontal,striatum
31,75.02739093711739,1167.639137593868,mua,frontal,striatum
33,60.460796733867234,2597.898180456144,mua,frontal,motor_cortex
34,124.13851302446031,2347.778020735266,mua,frontal,motor_cortex
35,47.603524656144465,2118.895465359908,mua,frontal,motor_cortex
36,218.11576089333317,3101.8319824830987,mua,frontal,motor_cortex
37,223.47626231754876,488.58724418009416,good,frontal,striatum
42,311.6495043535819,142.01160475246937,good,frontal,striatum
43,49.92674373626027,346.3955196588411,mua,frontal,striatum
44,87.68136717182269,1251.198848179653,good,frontal,striatum
48,103.8742640641552,1625.547300500121,good,frontal,motor_cortex
50,120.5460792429419,863.9106420946808,unsorted,frontal,striatum
51,684.9350359611166,220.0,good,frontal,striatum
56,48.537236987602576,2416.8696539156745,mua,frontal,motor_cortex
58,88.65030553246599,992.3367986779333,mua,frontal,striatum
